 V + E,Tempo (s)
34,"0,0018"
25,"0,0016"
39,"0,0016"
28,"0,0012"
34,"0,0014"
64,"0,002"
61,"0,0016"
69,"0,0014"
61,"0,002"
71,"0,0016"
106,"0,002"
109,"0,0016"
118,"0,002"
114,"0,0012"
123,"0,0018"
170,"0,0014"
159,"0,0018"
172,"0,0014"
192,"0,0016"
181,"0,002"
241,"0,0014"
223,"0,0018"
236,"0,0008"
264,"0,0016"
265,"0,0018"
314,"0,0016"
310,"0,0004"
321,"0,0018"
355,"0,0016"
356,"0,0022"
416,"0,0016"
401,"0,0014"
430,"0,0014"
437,"0,0016"
450,"0,002"
526,"0,0018"
514,"0,0016"
533,"0,0016"
550,"0,0018"
553,"0,0016"
650,"0,002"
630,"0,0024"
663,"0,0014"
670,"0,002"
676,"0,0016"
786,"0,0024"
771,"0,002"
801,"0,0022"
807,"0,0018"
816,"0,002"
925,"0,002"
918,"0,0012"
948,"0,0012"
956,"0,0012"
967,"0,0022"
1083,"0,002"
1075,"0,0016"
1118,"0,0018"
1106,"0,001"
1137,"0,0016"
1246,"0,0022"
1241,"0,0024"
1305,"0,0014"
1279,"0,0008"
1309,"0,0014"
1452,"0,0012"
1425,"0,0022"
1489,"0,0018"
1462,"0,0012"
1506,"0,0018"
1628,"0,0032"
1618,"0,0024"
1684,"0,0022"
1663,"0,0018"
1695,"0,0028"
1845,"0,0024"
1815,"0,0018"
1875,"0,0026"
1872,"0,0008"
1913,"0,0014"
2075,"0,0022"
2022,"0,0018"
2086,"0,0022"
2073,"0,0016"
2144,"0,0022"
2320,"0,0024"
2247,"0,0026"
2313,"0,0024"
2300,"0,0022"
2391,"0,0022"
2571,"0,0032"
2488,"0,0022"
2559,"0,002"
2546,"0,0028"
2650,"0,0018"
3118,"0,0028"
3032,"0,002"
3054,"0,0032"
3082,"0,0026"
3202,"0,0036"
3707,"0,003"
3602,"0,0006"
3615,"0,0018"
3645,"0,003"
3800,"0,0028"
4337,"0,003"
4260,"0,0022"
4251,"0,0026"
4302,"0,003"
4461,"0,0036"
5050,"0,003"
4956,"0,0024"
4941,"0,003"
4985,"0,0034"
5129,"0,0042"
5793,"0,0018"
5717,"0,004"
5660,"0,0026"
5727,"0,0042"
5868,"0,0036"
6602,"0,005"
6504,"0,0046"
6443,"0,0032"
6515,"0,0048"
6661,"0,0016"
7405,"0,0048"
7330,"0,0046"
7288,"0,0024"
7356,"0,0034"
7501,"0,0026"
8323,"0,0042"
8220,"0,005"
8204,"0,0066"
8266,"0,0026"
8389,"0,0052"
9283,"0,0048"
9152,"0,0048"
9101,"0,0048"
9222,"0,006"
9325,"0,0046"
10277,"0,005"
10145,"0,006"
10117,"0,005"
10206,"0,005"
10331,"0,0046"
11318,"0,0064"
11182,"0,0054"
11141,"0,0042"
11231,"0,0072"
11384,"0,0054"
12358,"0,0064"
12261,"0,0046"
12184,"0,0062"
12326,"0,0062"
12475,"0,0064"
13502,"0,0046"
13399,"0,0066"
13301,"0,0076"
13427,"0,006"
13614,"0,0062"
14669,"0,0076"
14574,"0,007"
14454,"0,007"
14629,"0,0078"
14825,"0,0062"
15903,"0,0084"
15817,"0,007"
15725,"0,0082"
15853,"0,007"
16072,"0,0084"
17224,"0,0086"
17094,"0,009"
17014,"0,0074"
17122,"0,008"
17338,"0,0078"
18610,"0,0092"
18439,"0,0092"
18344,"0,0092"
18456,"0,0082"
18693,"0,0082"
19958,"0,009"
19826,"0,0086"
19688,"0,0086"
19847,"0,0092"
20062,"0,0094"
21406,"0,0086"
21264,"0,0104"
21168,"0,0112"
21220,"0,0102"
21506,"0,0106"
22928,"0,0094"
22692,"0,0096"
22690,"0,009"
22679,"0,0116"
22931,"0,0114"
24479,"0,0116"
24215,"0,0124"
24282,"0,0112"
24215,"0,0124"
24433,"0,0126"
26030,"0,0096"
25799,"0,0108"
25893,"0,011"
25827,"0,013"
26020,"0,0108"
27612,"0,0144"
27393,"0,0136"
27515,"0,0124"
27502,"0,0148"
27639,"0,0138"
29325,"0,0146"
29066,"0,0148"
29164,"0,014"
29213,"0,0132"
29322,"0,0146"
31050,"0,0148"
30804,"0,012"
30934,"0,0136"
30930,"0,013"
31050,"0,0148"
32804,"0,0138"
32583,"0,014"
32711,"0,0144"
32736,"0,0154"
32852,"0,0142"
34672,"0,0164"
34380,"0,0144"
34596,"0,0142"
34536,"0,0166"
34673,"0,0152"
36550,"0,016"
36256,"0,0142"
36429,"0,0144"
36403,"0,016"
36512,"0,0166"
38447,"0,0176"
38149,"0,0158"
38323,"0,0166"
38364,"0,0172"
38449,"0,0148"
40467,"0,0166"
40114,"0,017"
40256,"0,0152"
40347,"0,0182"
40411,"0,0174"
42448,"0,018"
42097,"0,0176"
42253,"0,0176"
42362,"0,0204"
42457,"0,0196"
44528,"0,0196"
44179,"0,0198"
44371,"0,0168"
44488,"0,0196"
44523,"0,0188"
46613,"0,019"
46340,"0,0202"
46493,"0,02"
46613,"0,0196"
46657,"0,0188"
48760,"0,0182"
48531,"0,0202"
48691,"0,021"
48924,"0,021"
48880,"0,019"
50988,"0,0232"
50792,"0,0222"
50888,"0,0214"
51190,"0,0226"
51097,"0,0198"
53222,"0,0208"
53111,"0,0204"
53158,"0,0218"
53498,"0,0234"
53378,"0,0242"
55565,"0,0246"
55530,"0,0252"
55498,"0,025"
55779,"0,0212"
55710,"0,0222"
57914,"0,0252"
57904,"0,025"
57919,"0,0224"
58152,"0,0264"
58129,"0,0254"
60370,"0,0244"
60294,"0,0244"
60384,"0,0254"
60557,"0,0236"
60549,"0,0228"
62854,"0,0254"
62724,"0,0264"
62815,"0,0266"
63044,"0,0268"
62991,"0,0246"
65411,"0,024"
65294,"0,025"
65397,"0,0272"
65506,"0,0264"
65510,"0,0232"
68011,"0,0282"
67853,"0,0298"
68016,"0,0276"
68108,"0,0272"
68065,"0,0248"
70584,"0,0296"
70433,"0,026"
70684,"0,029"
70751,"0,029"
70680,"0,03"
73296,"0,0288"
73143,"0,0298"
73325,"0,0276"
73350,"0,0296"
73319,"0,0264"
76012,"0,0304"
75953,"0,0278"
76045,"0,0296"
76119,"0,0294"
76115,"0,0302"
78748,"0,032"
78737,"0,031"
78769,"0,0336"
78897,"0,0332"
78891,"0,032"
81603,"0,0348"
81602,"0,0334"
81562,"0,032"
81786,"0,0316"
81724,"0,0332"
84484,"0,034"
84581,"0,035"
84399,"0,0318"
84665,"0,0316"
84656,"0,0344"
87354,"0,0358"
87522,"0,036"
87385,"0,0356"
87583,"0,036"
87535,"0,0342"
90335,"0,0382"
90519,"0,035"
90323,"0,0376"
90569,"0,036"
90431,"0,0366"
93401,"0,0376"
93585,"0,0382"
93330,"0,0354"
93644,"0,0386"
93490,"0,0372"
96466,"0,0406"
96666,"0,0376"
96421,"0,0386"
96673,"0,0386"
96584,"0,0414"
99653,"0,0394"
99804,"0,038"
99638,"0,0406"
99794,"0,0408"
99690,"0,0412"
102868,"0,0398"
102983,"0,0392"
102841,"0,0408"
102978,"0,0406"
102824,"0,0398"
106187,"0,0372"
106254,"0,0428"
106049,"0,0404"
106252,"0,042"
106119,"0,0426"
109518,"0,0426"
109582,"0,0426"
109367,"0,0468"
109433,"0,0414"
109377,"0,039"
112813,"0,0458"
112969,"0,046"
112720,"0,046"
112646,"0,0444"
112674,"0,0418"
116117,"0,0464"
116388,"0,043"
116111,"0,0454"
115979,"0,0448"
116090,"0,0426"
119638,"0,0454"
119829,"0,0444"
119586,"0,0462"
119454,"0,048"
119520,"0,0454"
123167,"0,0474"
123280,"0,05"
122977,"0,0438"
123038,"0,049"
122981,"0,0462"
126704,"0,0498"
126913,"0,0494"
126463,"0,047"
126589,"0,0504"
126437,"0,0508"
130199,"0,0504"
130477,"0,0464"
130127,"0,0486"
130184,"0,051"
129998,"0,0502"
133835,"0,0516"
134171,"0,0518"
133791,"0,0528"
133802,"0,0528"
133696,"0,0538"
137477,"0,052"
137867,"0,0532"
137491,"0,0508"
137451,"0,057"
137377,"0,053"
141119,"0,0546"
141642,"0,0548"
141153,"0,054"
141183,"0,0554"
141129,"0,0576"
144926,"0,055"
145390,"0,0552"
145009,"0,0566"
144945,"0,0554"
144808,"0,058"
148775,"0,0564"
149247,"0,0608"
148937,"0,0568"
148767,"0,0574"
148586,"0,0542"
152612,"0,0608"
153180,"0,0592"
152794,"0,058"
152656,"0,0558"
152524,"0,0588"
156502,"0,0566"
157058,"0,059"
156747,"0,0592"
156620,"0,0576"
156435,"0,0576"
160410,"0,0624"
161042,"0,0616"
160791,"0,0628"
160617,"0,0644"
160343,"0,0588"
164473,"0,062"
165065,"0,0628"
164841,"0,0664"
164656,"0,0602"
164446,"0,0632"
168514,"0,066"
169148,"0,0648"
168908,"0,0642"
168824,"0,0668"
168566,"0,0656"
172594,"0,065"
173309,"0,0662"
173047,"0,0652"
172924,"0,064"
172753,"0,0654"
176723,"0,0672"
177491,"0,0674"
177223,"0,0674"
177046,"0,0652"
176930,"0,0686"
180933,"0,0708"
181815,"0,069"
181362,"0,0696"
181213,"0,0696"
181189,"0,068"
185207,"0,0694"
186096,"0,0712"
185670,"0,073"
185516,"0,0718"
185486,"0,0698"
189590,"0,0718"
190409,"0,0704"
189972,"0,0736"
189876,"0,071"
189753,"0,0698"
193969,"0,0768"
194793,"0,0754"
194312,"0,0744"
194288,"0,0714"
194133,"0,076"
198395,"0,0784"
199138,"0,0784"
198730,"0,0794"
198730,"0,073"
198505,"0,077"
202921,"0,0776"
203560,"0,0756"
203156,"0,0782"
203182,"0,0782"
202933,"0,0802"
207563,"0,0806"
208072,"0,0776"
207626,"0,0838"
207683,"0,0832"
207468,"0,0794"
212176,"0,0788"
212703,"0,0782"
212202,"0,0784"
212259,"0,0788"
212071,"0,0838"
216769,"0,0826"
217414,"0,0844"
216824,"0,082"
216878,"0,0844"
216626,"0,0806"
221374,"0,0862"
222106,"0,0822"
221460,"0,0848"
221570,"0,0868"
221344,"0,085"
226135,"0,0864"
226719,"0,0856"
226159,"0,0868"
226235,"0,089"
225992,"0,0852"
230924,"0,0862"
231467,"0,0872"
230935,"0,0836"
230906,"0,0886"
230765,"0,087"
235703,"0,0914"
236360,"0,0908"
235763,"0,0896"
235739,"0,0898"
235568,"0,0886"
240538,"0,0904"
241225,"0,0916"
240661,"0,086"
240594,"0,0908"
240356,"0,0906"
245419,"0,091"
246109,"0,095"
245519,"0,089"
245595,"0,095"
245311,"0,0878"
250434,"0,0926"
251102,"0,096"
250533,"0,0914"
250572,"0,0932"
250300,"0,0956"
